Home Odds Change,Draw Odds Change,Away Odds Change,URL,Prediction,homeFormTrend,awayFormTrend,homeFormRating,awayFormRating,ScoreType,BetResult
9,-6,-4,"https://www.flashscore.com/match/IZshnAtS/", draw, stable, downward, 0.060866666666666715, 0.010000000000000009, away, lose
9,8,-16,"https://www.flashscore.com/match/dKgqlWBF/", away, downward, upward, 0.27622222222222226, 0.7451111111111112, home, lose
-3,-5,10,"https://www.flashscore.com/match/ETLcl6v3/", draw, upward, upward, 0.7856444444444447, 0.8159444444444445, draw, win
2,-5,6,"https://www.flashscore.com/match/M74HBQ2b/", draw, downward, downward, 0.17111111111111113, 0.1515555555555556, home, lose
11,6,-10,"https://www.flashscore.com/match/d075ESIu/", draw, downward, downward, -0.014788888888888869, 0.29200000000000004, home, lose
10,0,-10,"https://www.flashscore.com/match/EcqAYuZh/", away, downward, upward, 0.10743333333333333, 0.542, away, win
-12,-1,17,"https://www.flashscore.com/match/2PfrDSR9/", draw, downward, upward, 0.2307555555555556, 0.5557777777777778, away, lose
-15,-4,24,"https://www.flashscore.com/match/ltgjB6dM/", draw, downward, downward, 0.21682222222222222, 0.10177777777777774, home, lose
-12,3,11,"https://www.flashscore.com/match/U9qlimgE/", draw, downward, upward, 0.4321777777777779, 0.721777777777778, draw, win
9,-9,-2,"https://www.flashscore.com/match/4IEAo4OL/", draw, stable, upward, 0.44550000000000006, 0.4, draw, win
6,-1,-9,"https://www.flashscore.com/match/bDF0bbye/", away, downward, upward, 0.12014444444444447, 0.2711666666666667, home, lose
9,-11,5,"https://www.flashscore.com/match/nDl2lMf0/", draw, stable, upward, 0.5482888888888889, 0.47311111111111115, away, lose
15,-4,-9,"https://www.flashscore.com/match/Q3m6mtA6/", draw, upward, upward, 0.6101333333333335, 0.43666666666666665, away, lose
-17,4,28,"https://www.flashscore.com/match/8U5T4tMH/", draw, downward, stable, 0.35409523809523813, 0.26415873015873015, away, lose
9,-5,-8,"https://www.flashscore.com/match/ChTl7Y2S/", draw, stable, downward, 0.42105555555555557, 0.13833333333333336, draw, win
9,5,-11,"https://www.flashscore.com/match/8Ojw72HT/", away, downward, upward, 0.02505555555555556, 0.48377777777777786, draw, lose
15,-6,-16,"https://www.flashscore.com/match/fJPAVxTJ/", draw, downward, downward, 0.4785000000000001, 0.15622222222222226, home, lose
14,-4,-11,"https://www.flashscore.com/match/CzpCAyif/", away, downward, upward, 0.3056777777777778, 0.4652222222222222, away, win
33,-6,-31,"https://www.flashscore.com/match/GOELnllc/", away, stable, upward, 0.42295000000000005, 0.5136666666666667, home, lose